period,secondsIntoPeriod,secondsElapsedGame,situationCode,strength,awayGoalie,awaySkaterCount,awaySkaters,homeSkaterCount,homeGoalie,homeSkaters
1,41,41,1551,5v5,8479193,5,8475755|8479351|8481581|8482145|8482740,5,8480843,8473986|8475798|8476885|8481605|8484762
1,42,42,1551,5v5,8479193,5,8475755|8479351|8481581|8482145|8482740,5,8480843,8475798|8476458|8476885|8481605|8484762
1,43,43,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8476885|8481605
1,44,44,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8476885|8481605
1,45,45,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8476885|8481605
1,46,46,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8476885|8481605
1,47,47,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8476885|8481605
1,48,48,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8476885|8481563
1,49,49,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8481563|8483490
1,50,50,1551,5v5,8479193,5,8475755|8480027|8481581|8482145|8482740,5,8480843,8475184|8475798|8476458|8481563|8483490
1,51,51,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,52,52,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,53,53,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,54,54,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,55,55,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,56,56,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,57,57,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,58,58,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,59,59,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,60,60,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,61,61,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,62,62,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,63,63,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,64,64,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,65,65,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,66,66,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,67,67,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,68,68,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,69,69,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,70,70,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,71,71,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,72,72,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,73,73,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,74,74,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,75,75,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,76,76,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,77,77,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,78,78,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,79,79,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
